 job_id |                                                  tool_id                                                  |  state  | total_filesize | num_files | runtime_seconds |   slots    |     memory_bytes     |        create_time         
--------+-----------------------------------------------------------------------------------------------------------+---------+----------------+-----------+-----------------+------------+----------------------+----------------------------
      5 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 22:07:34.795825
      6 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 22:10:52.769725
      1 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 20:30:27.978273
     18 | upload1                                                                                                   | ok      |                |           |       6.0000000 |  1.0000000 |                      | 2022-03-15 21:01:57.315313
    119 | unmicst                                                                                                   | deleted |                |         0 |                 |            |                      | 2022-04-05 17:08:10.227289
    121 | quantification                                                                                            | deleted |            396 |         4 |                 |            |                      | 2022-04-05 17:08:10.407494
    124 | vitessce_spatial                                                                                          | deleted |              0 |         2 |                 |            |                      | 2022-04-05 17:08:10.648567
    128 | ashlar                                                                                                    | paused  |      288392676 |        10 |                 |            |                      | 2022-04-05 17:16:43.713118
    132 | scimap_mcmicro_to_anndata                                                                                 | paused  |       22119019 |         1 |                 |            |                      | 2022-04-05 17:16:43.992862
    134 | vitessce_spatial                                                                                          | paused  |       59985120 |         3 |                 |            |                      | 2022-04-05 17:16:44.134947
    151 | scimap_mcmicro_to_anndata                                                                                 | ok      |      332995773 |         1 |       3.0000000 |  1.0000000 |                      | 2022-04-05 19:05:07.924925
    176 | upload1                                                                                                   | ok      |                |           |       7.0000000 |  1.0000000 |                      | 2022-04-05 21:22:21.212442
      2 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 21:38:22.852553
      4 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 21:56:48.452118
      7 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 22:46:01.232783
      3 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 21:51:00.615984
     31 | basic_illumination                                                                                        | ok      |       66638794 |         1 |      47.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.189842
      8 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 22:54:54.172197
      9 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 23:08:08.992803
     22 | ashlar                                                                                                    | ok      |      332630714 |        10 |      44.0000000 |  1.0000000 |                      | 2022-03-15 22:03:54.001782
     23 | unmicst                                                                                                   | error   |      427856905 |         1 |       3.0000000 |  1.0000000 |                      | 2022-03-15 22:07:55.844764
    106 | http_min                                                                                                  | deleted |                |           |                 |            |                      | 2022-04-04 21:33:33.736082
    179 | upload1                                                                                                   | ok      |                |           |       7.0000000 |  1.0000000 |                      | 2022-04-05 21:22:21.564557
     10 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-14 23:21:11.553519
     11 | ludwig_render_config                                                                                      | error   |                |           |                 |            |                      | 2022-03-15 00:00:20.842326
     12 | ludwig_render_config                                                                                      | ok      |                |           |       5.0000000 |  1.0000000 |                      | 2022-03-15 00:38:28.71095
     13 | ludwig_render_config                                                                                      | ok      |                |           |       4.0000000 |  1.0000000 |                      | 2022-03-15 18:27:13.257447
     14 | upload1                                                                                                   | ok      |                |           |       6.0000000 |  1.0000000 |                      | 2022-03-15 20:55:08.583974
     15 | upload1                                                                                                   | ok      |                |           |       6.0000000 |  1.0000000 |                      | 2022-03-15 20:56:41.79853
     16 | upload1                                                                                                   | ok      |                |           |       6.0000000 |  1.0000000 |                      | 2022-03-15 20:58:14.875121
     17 | upload1                                                                                                   | ok      |                |           |       6.0000000 |  1.0000000 |                      | 2022-03-15 20:59:50.414163
    120 | s3segmenter                                                                                               | deleted |              0 |         1 |                 |            |                      | 2022-04-05 17:08:10.309168
    122 | scimap_mcmicro_to_anndata                                                                                 | deleted |              0 |         1 |                 |            |                      | 2022-04-05 17:08:10.491982
    130 | s3segmenter                                                                                               | paused  |       44238038 |         2 |                 |            |                      | 2022-04-05 17:16:43.841056
     21 | basic_illumination                                                                                        | ok      |       66638603 |         1 |      47.0000000 |  1.0000000 |                      | 2022-03-15 21:58:55.925643
     20 | basic_illumination                                                                                        | ok      |       66638794 |         1 |      49.0000000 |  1.0000000 |                      | 2022-03-15 21:58:55.925639
     19 | basic_illumination                                                                                        | ok      |       66638807 |         1 |      55.0000000 |  1.0000000 |                      | 2022-03-15 21:58:55.925631
     24 | upload1                                                                                                   | ok      |                |           |      27.0000000 |  1.0000000 |                      | 2022-03-15 22:11:04.275384
     25 | vitessce_spatial                                                                                          | ok      |     2944553756 |         1 |       4.0000000 |  1.0000000 |                      | 2022-03-15 22:39:34.085849
     27 | s3segmenter                                                                                               | ok      |      451477523 |         2 |      56.0000000 |  1.0000000 |                      | 2022-03-15 22:53:53.34858
     40 | upload1                                                                                                   | ok      |                |           |     108.0000000 |  1.0000000 |                      | 2022-03-18 04:33:31.687752
     89 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 17:50:42.367851
    100 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 20:28:31.73269
    107 | http_min                                                                                                  | deleted |                |           |                 |            |                      | 2022-04-04 21:42:59.176197
    190 | upload1                                                                                                   | ok      |                |           |       5.0000000 |  1.0000000 |                      | 2022-04-05 21:22:44.030185
     26 | unmicst                                                                                                   | ok      |      427856905 |         1 |     187.0000000 |  1.0000000 |                      | 2022-03-15 22:43:22.651643
     35 | s3segmenter                                                                                               | ok      |      451477523 |         2 |      61.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.517049
     41 | upload1                                                                                                   | ok      |                |           |       7.0000000 |  1.0000000 |                      | 2022-03-18 04:33:32.155806
     42 | upload1                                                                                                   | ok      |                |           |      10.0000000 |  1.0000000 |                      | 2022-03-18 04:36:47.040383
     90 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 17:57:52.685888
    101 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 20:31:22.202933
    192 | upload1                                                                                                   | ok      |                |           |       8.0000000 |  1.0000000 |                      | 2022-04-06 17:22:40.459659
     28 | quantification                                                                                            | ok      |      556887701 |         5 |      26.0000000 |  1.0000000 |                      | 2022-03-15 22:58:52.418896
     29 | upload1                                                                                                   | ok      |                |           |       6.0000000 |  1.0000000 |                      | 2022-03-16 21:57:13.801222
     33 | ashlar                                                                                                    | ok      |      244154638 |        10 |      44.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.362066
     34 | unmicst                                                                                                   | ok      |      427856905 |         1 |     176.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.441116
     37 | scimap_mcmicro_to_anndata                                                                                 | ok      |        4236996 |         1 |       3.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.686868
     39 | vitessce_spatial                                                                                          | paused  |      470867039 |         3 |                 |            |                      | 2022-03-16 22:02:52.832752
     32 | basic_illumination                                                                                        | ok      |       66638603 |         1 |      48.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.189846
     30 | basic_illumination                                                                                        | ok      |       66638807 |         1 |      49.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.189835
     44 | ludwig_train                                                                                              | error   |      570637816 |         2 |    1337.0000000 |  1.0000000 |                      | 2022-03-18 04:54:17.149783
     45 | ludwig_train                                                                                              | error   |              0 |         2 |       3.0000000 |  1.0000000 |                      | 2022-03-18 16:14:30.184616
     47 | ludwig_train                                                                                              | error   |              0 |         2 |      11.0000000 |  1.0000000 |                      | 2022-03-18 17:04:19.551369
     60 | vitessce_spatial                                                                                          | error   |              0 |         2 |       2.0000000 |  1.0000000 |                      | 2022-03-25 06:25:03.010074
     80 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-01 00:05:04.462422
    102 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 20:35:46.185635
    109 | http_min                                                                                                  | deleted |                |           |                 |            |                      | 2022-04-04 21:58:09.843196
     36 | quantification                                                                                            | ok      |      556887701 |         5 |      29.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.61002
     38 | scimap_phenotyping                                                                                        | error   |        1814566 |         2 |       9.0000000 |  1.0000000 |                      | 2022-03-16 22:02:52.75667
     43 | upload1                                                                                                   | ok      |                |           |     105.0000000 |  1.0000000 |                      | 2022-03-18 04:51:03.333422
     46 | ludwig_train                                                                                              | error   |              0 |         2 |      11.0000000 |  1.0000000 |                      | 2022-03-18 16:31:58.797244
     92 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 18:15:04.618959
     48 | ludwig_train                                                                                              | deleted |              0 |         2 |                 |            |                      | 2022-03-18 17:28:14.334823
     94 | http_min                                                                                                  | error   |                |           |                 |            |                      | 2022-04-04 18:46:24.840799
    103 | http_min                                                                                                  | deleted |                |           |                 |            |                      | 2022-04-04 20:43:14.096442
    111 | http_min                                                                                                  | deleted |                |           |                 |            |                      | 2022-04-04 22:19:50.836482
    123 | scimap_phenotyping                                                                                        | deleted |           1909 |         2 |                 |            |                      | 2022-04-05 17:08:10.56006
    118 | ashlar                                                                                                    | deleted |      199916600 |         4 |                 |            |                      | 2022-04-05 17:08:10.116975
    129 | unmicst                                                                                                   | paused  |       22119019 |         1 |                 |            |                      | 2022-04-05 17:16:43.773716
    131 | quantification                                                                                            | paused  |       88476472 |         5 |                 |            |                      | 2022-04-05 17:16:43.927343
    133 | scimap_phenotyping                                                                                        | paused  |      427858814 |         2 |                 |            |                      | 2022-04-05 17:16:44.05993
    193 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |                      | 2022-04-06 18:18:14.912885
    371 | mesmer                                                                                                    | error   |          72092 |         1 |                 |            |                      | 2022-05-03 23:37:24.776006
